Companies,Count
Rio Tinto,1
Coca-Cola,1
Royal Dutch Shell (Shell),1
BP,1
Chevron,1
ExxonMobil,1
Cambior,1
,1
BHP|Ok Tedi Mining,1
Talisman (part of Repsol),1
AirScan|Occidental Petroleum,1
General Motors,1
Freeport-McMoRan,1
IBM,1
Deutsche Bank,1
Walmart,1
Severstal,1
Academi (formerly Blackwater)|Blackwater|Xe (formerly Blackwater),1
AngloGold Ashanti,1
Chiquita,1
Jeppesen (part of Boeing),1
Sterlite Industries (part of Vedanta Resources)|Vedanta Resources,1
Kellogg Brown & Root (KBR),1
AES|American Electric Power|Berkshire Hathaway|BP|Chevron|Cinergy (now Duke Energy)|ConocoPhillips|DTE Energy|Duke Energy|Edison International|ExxonMobil|MidAmerican Energy (part of Berkshire Hathaway)|Mirant (part of NRG Energy)|NRG Energy|Peabody Energy|Pinnacle West Capital|Reliant Energy|Royal Dutch Shell (Shell)|Southern Company|Xcel Energy,1
Barrick Gold,1
Nishimatsu Construction,1
Chisso,1
Equinor (formerly Statoil),1
CACI|Engility (formerly part of L-3 Communications)|L-3 Communications|L-3 Titan (part of L-3 Communications)|Titan (now L-3 Titan),1
Lidl,1
China Construction Bank,1
Fonterra|Sanlu,1
DLH (Dalhoff Larsen & Horneman),1
Cisco Systems,1
Curacao Drydock,1
Copper Mesa Mining,1
Correctional Services,1
African Rainbow Minerals|Anglo American South Africa|AngloGold Ashanti|DRDGold|Gold Fields|Harmony Gold|JCI|Randgold (part of Barrick Gold),1
Eternit (Switzerland),1
Anglo American|Anglo Platinum (part of Anglo American),1
Alstom|Veolia Transport (now Transdev),1
Anheuser-Busch InBev|Daimler AG|Danone|Dow Chemical|Odfjell|Petrobras|Quilmes (part of Anheuser-Busch InBev)|Royal Dutch Shell (Shell)|Solvay,1
Tate & Lyle,1
Daimler AG,1
SIFORCO (part of Blattner Group),1
Tanzania Breweries (part of SABMiller)|Tanzania Conservation (part of Wineland-Thomson Adventures),1
African Barrick Gold (now Acacia)|Barrick Gold,1
Argor-Heraeus,1
Kaweri (part of Neumann Gruppe)|Neumann Gruppe,1
Novartis,1
Abbott Laboratories,1
Alphabet|Apple|Dell|Google (part of Alphabet)|Microsoft|Tesla Motors,1
Anjin (joint venture Anhui Foreign Economic Construction Zimbabwe Mining Development Corporation & Govt. of Zimbabwe)|Marange Resources (part of Zimbabwe Mining Development Corporation),1
Blackstone|Cisco Systems|Facebook|GitHub|Google (part of Alphabet)|LinkedIn (part of Microsoft)|Microsoft|NSO Group|VMware|WhatsApp (part of Facebook),1
Oil Palm Uganda,1
Anglo American|Anglo American South Africa,1
Government of Cambodia,1
Consórcio Norte Energia,1
DJ Houghton,1
FIFA,1
HIL (formerly Hyderabad Asbestos Cement Products (part of CK Birla Group))|Hyderabad Industries Limited,1
International Finance Corporation,1
Kewei Tongchuang (part of Nelson-Miller),1
ConocoPhillips,1
KiK,1
BHP|Samarco (joint venture BHP Billiton and Vale)|Vale,1
BHP,1
Electricity Generating Authority of Thailand (EGAT),1
Hershey,1
Lundin Energy,1
Mhoney Pty Ltd,1
Myanmar Pongpipat Co Ltd,1
Nevsun (part of Zijin Mining),1
Odebrecht,1
Produkty,1
Samsung,1
Signal International,1
Lafarge (part of LafargeHolcim),1
African Minerals|Tonkolili Iron Ore (part of Shandong Iron & Steel Group),1
Mitsubishi Group,1
TÜV Süd,1
Konkola Copper Mines (joint venture Vedanta Resources Zambia Copper Investments & ZCCM Investments)|Vedanta Resources,1
Nike,1
General Electric (GE)|RCA (part of Thomson)|Technicolor USA,1
Paladin Energy,1
Philip Morris International,1
Unilever,1
Volkswagen,1
Syngenta,1
South African Airways,1
Rubicon,1
Riwal,1
Petroleum Authority of Thailand Exploration and Production (PTTEP)|PTT|PTTEP Australasia|PTT Exploration and Production (PTTEP part of PTT),1
Oxec S.A.,1
Occidental Petroleum,1
Metal Refinery (EPZ),1
Lahmeyer,1
Impulsa Generación Responsable (IGR),1
Drummond,1
Unocal (part of Chevron),1
Tazreen Fashions,1
Villaggio Mall,1
Vinci,1
Grupo Higa|Grupo México,1
Gloucester Resources,1
Globe Metals & Mining,1
Eni,1
DuPont,1
Red Lands Roses,1
China Communications Construction Company Limited (CCCC),1
Titan Cement,1
Gold Mantis|Imperial Pacific International,1
Bushmaster Firearms International LLC|Remington Outdoor,1
BP|Chevron|ConocoPhillips|ExxonMobil|Royal Dutch Shell (Shell)|Total,1
Indesit,1
Total,1
RWE,1
Boliden,1
Thammakaset 2,1
Arab Bank,1
SNCF (Société Nationale des Chemins de Fer),1
HeidelbergCement|LafargeHolcim,1
Union Carbide (part of Dow),1
Tabloid Rolling Stone,1
Juren Academy,1
Archer Daniels Midland (ADM)|Cargill|Nestlé,1
Yunnan Luliang Peace Technology (part of Peace Chemical & Industry),1
Hudbay Minerals|Skye Resources (part of HudBay),1
Compañía Guatemalteca de Níquel (CGN) (part of Solway Group)|Hudbay Minerals,1
Qosmos (part of Enea),1
adidas|Alpargatas|Arena|Bensimon|Fila|Graciela Naum|Kosiuko|Le Coq Sportif|Montagne|Puma|Topper (part of Alpargatas),1
Pfizer,1
Orano (formerly Areva),1
Thomson Safaris (part of Wineland-Thomson Adventures),1
Trafigura Beheer,1
DynCorp,1
Chevron|Texaco (part of Chevron),1
Ford,1
Children's Place|J.C. Penney|Walmart,1
